         718          24          24          24
   1.2577804613229118E-002 -0.28151294473078364                0           0           0
  0.14501493956506945      -0.57955595558157791               -1          -1          -1
   4.2376503948516296E-003  -6.7024875120152719E-002          -1           0           0
  0.11780444476901253        2.9476924126125410E-002           0          -1           0
  0.11780454333711260        2.9476526397222237E-002           0           0          -1
   1.4950021910205176E-003  -6.1284591731947634E-002           0           0           1
   1.4950035214736715E-003  -6.1284550241820918E-002           0           1           0
 -0.14501494762269893       0.57955595290595485                1           0           0
  -4.2376464067497045E-003   6.7024874684233529E-002           1           1           1
   3.1711586593895433E-002  -6.6372210178609142E-002          -1          -1           0
   3.1711574147128899E-002  -6.6372260306659644E-002          -1           0          -1
 -0.12148263907852279       0.25426306876915994                0          -1          -1
   7.3852364522379492E-003  -1.5457347229266394E-002           0           1           1
  -3.1711592080549786E-002   6.6372208129862387E-002           1           0           1
  -3.1711574318079666E-002   6.6372261563919788E-002           1           1           0
   1.4143553831610865E-002  -3.0624969010997261E-002          -2          -1          -1
   3.2832661048572201E-003  -7.3485515571260207E-002          -1          -2          -1
   3.2832255609582528E-003  -7.3485476363888344E-002          -1          -1          -2
   1.1511910097961424E-003  -2.5766096611519754E-002          -1           0           1
   1.1511891005724657E-003  -2.5766092229604503E-002          -1           1           0
   1.4042684486216664E-002  -2.8368463569771546E-002           0          -1           1
   1.4042683286505861E-002  -2.8368487387382596E-002           0           1          -1
  -3.2832679812189944E-003   7.3485516534690112E-002           1          -1           0
  -3.2832280618066215E-003   7.3485477645855696E-002           1           0          -1
  -1.1511899688048163E-003   2.5766095894845204E-002           1           1           2
  -1.1511878599763641E-003   2.5766092684881350E-002           1           2           1
   1.4143553497692326E-002  -3.0624972635258166E-002           2           1           1
   2.4524935418953910E-003   6.1366206181292528E-004          -2          -2          -1
   2.4525000785830947E-003   6.1365110339819983E-004          -2          -1          -2
   1.5098333901176323E-003  -1.1597065664111243E-003          -2          -1           0
   1.5098327830990116E-003  -1.1597108161680479E-003          -2           0          -1
   2.7827022721193882E-002  -6.1122403526657758E-002          -1          -2          -2
  -3.0188990690960234E-003   1.2065104853504262E-002          -1          -2           0
   1.7070157868354446E-003  -5.5731173978687161E-003          -1          -1           1
  -3.0188983028875335E-003   1.2065105864646462E-002          -1           0          -2
   1.7070122629792689E-003  -5.5731253664619111E-003          -1           1          -1
   4.2268672929561615E-003  -1.9042417540747807E-002          -1           1           1
  -2.7543073304523123E-002   5.4766872717805559E-002           0          -2          -1
  -2.7543091432398182E-002   5.4766905423167381E-002           0          -1          -2
   3.2218319164471930E-003   3.4522996236813585E-003           0           1           2
   3.2218340220991704E-003   3.4523002897953563E-003           0           2           1
  -2.7827021770103346E-002   6.1122404441215999E-002           1          -1          -1
   3.0188988124468345E-003  -1.2065106638170481E-002           1          -1           1
  -1.7070158185336953E-003   5.5731168146493475E-003           1           0           2
   3.0188985912573494E-003  -1.2065105703260302E-002           1           1          -1
  -1.7070119433243887E-003   5.5731265196429618E-003           1           2           0
  -4.2268668860053222E-003   1.9042417147166861E-002           1           2           2
   2.4524974750160253E-003   6.1366322089995574E-004           2           0           1
   2.4524959053704681E-003   6.1365270458143965E-004           2           1           0
   1.5098348464555702E-003  -1.1597078533203862E-003           2           1           2
   1.5098327726335450E-003  -1.1597126123880897E-003           2           2           1
  -1.9459216888403283E-003   3.3677031532825509E-002          -2          -2          -2
  -2.9939723058805935E-003   9.8534461529426712E-004          -2           0           0
  -9.7221785979846077E-004   3.1638946818148821E-002           0          -2           0
  -9.7220320043480205E-004   3.1638923797773909E-002           0           0          -2
   3.5145369604080720E-003  -1.2636941752622997E-002           0           0           2
   3.5145381852575300E-003  -1.2636933261373494E-002           0           2           0
  -1.9459191389970664E-003   3.3677028712123129E-002           2           0           0
  -2.9939716307587592E-003   9.8534352781377605E-004           2           2           2
  -1.1442976202812689E-004   2.5613786090117304E-003          -2          -2           0
  -1.1442696499513734E-004   2.5613752067538400E-003          -2           0          -2
  -7.6466056385086911E-004   1.7113929460701813E-002           0          -2          -2
  -4.0014614230568686E-004   8.9560868787069529E-003           0           2           2
  -1.1442847069630157E-004   2.5613789080388139E-003           2           0           2
  -1.1442822892100950E-004   2.5613764422238875E-003           2           2           0
  -3.4906614573894075E-003   1.3950517391721769E-002          -3          -2          -2
   2.2958819385657222E-003   9.5684162451548202E-004          -3          -1          -1
   7.8574933131793845E-004   1.7341064497029891E-003          -2          -3          -2
   7.8575322141527927E-004   1.7341036971535682E-003          -2          -2          -3
  -1.8219396162386628E-003  -4.5527951307082482E-004          -2           0           1
  -1.8219409196973246E-003  -4.5527877577671179E-004          -2           1           0
