         718          24          24          24
   8.4463669422448831E-002 -0.26883783449211485                0           0           0
   7.9637596922016107E-002 -0.59539963848099209               -1          -1          -1
 -0.10309258067692743       -1.3789139946596640E-002          -1           0           0
 -0.10309258321129067       -1.3789119042331318E-002           0          -1           0
   1.9126195456870384E-002  -6.4444649571672077E-002           0           0          -1
  -7.9637545329553694E-002  0.59539964531775091                0           0           1
   1.9370934247096176E-002  -5.8087544071215871E-002           0           1           0
   1.9370936679440964E-002  -5.8087547603683745E-002           1           0           0
  -1.9126188011575663E-002   6.4444603729178582E-002           1           1           1
   1.0841908932459093E-002  0.28158541511337692               -1          -1           0
  -2.8301065893086563E-003  -7.3504348024366534E-002          -1           0          -1
  -2.8301213897179954E-003  -7.3504338838290467E-002           0          -1          -1
   2.8301184061642372E-003   7.3504306913816167E-002           0           1           1
   2.8301281001803374E-003   7.3504289458847280E-002           1           0           1
  -6.5913228502542144E-004  -1.7118342157504081E-002           1           1           0
   2.2048157955032333E-002  -7.0176704074389917E-002          -2          -1          -1
   2.2048151299366256E-002  -7.0176714947082663E-002          -1          -2          -1
  -9.1914305893765411E-004  -3.3743831928278380E-002          -1          -1          -2
  -2.2048162830262872E-002   7.0176745604698929E-002          -1           0           1
  -1.5962346316574817E-003  -3.1588871681837619E-002          -1           1           0
  -2.2048153357375633E-002   7.0176765747822167E-002           0          -1           1
   7.7306966082136873E-003  -2.4605952219249647E-002           0           1          -1
  -1.5962356671422491E-003  -3.1588870205597884E-002           1          -1           0
   7.7306945276592858E-003  -2.4605952804603561E-002           1           0          -1
  -9.1914778889207183E-004  -3.3743796996548697E-002           1           1           2
  -7.7306968482891356E-003   2.4605949529570285E-002           1           2           1
  -7.7306958209539083E-003   2.4605948257515400E-002           2           1           1
  -1.5173079812502849E-003  -6.7205774601992715E-002          -2          -2          -1
  -2.1461011205451330E-003  -2.8706346050755440E-004          -2          -1          -2
   3.4241488157369902E-003   6.1136498600849992E-002          -2          -1           0
  -1.6578797144037338E-003   1.2394924017142242E-002          -2           0          -1
  -2.1460990785315327E-003  -2.8706188803670935E-004          -1          -2          -2
   3.4241434203466301E-003   6.1136492375051310E-002          -1          -2           0
   1.5173053577605122E-003   6.7205816949493055E-002          -1          -1           1
  -8.0562140375827732E-004  -1.6208218252976314E-003          -1           0          -2
   5.1854637063733760E-004  -5.8355053882999776E-003          -1           1          -1
   1.6578775801594199E-003  -1.2394925033032078E-002          -1           1           1
  -1.6578842647035313E-003   1.2394923416914210E-002           0          -2          -1
  -8.0562251097797194E-004  -1.6208205102752101E-003           0          -1          -2
