         718          24          24          24
   1.1382381789418577E-007   2.4620805510649980E-007           0           0           0
  -1.6386020402302681E-007  -2.1522386738722989E-007          -1          -1          -1
  0.13043759091944940       0.21668372550676562               -1           0           0
  0.15366701889237383       0.25527253224751484                0          -1           0
 -0.28410454477137614      -0.47195626732693863                0           0          -1
  -6.0693503214985622E-002 -0.10082518984745097                0           0           1
   3.2827985272424608E-002   5.4534504083880372E-002           0           1           0
   2.7865481225883226E-002   4.6290672864312377E-002           1           0           0
   7.7162458150858284E-010  -1.3556840103801905E-009           1           1           1
  0.28410388339692261       0.47195666563539979               -1          -1           0
 -0.15366659977006220      -0.25527278404376619               -1           0          -1
 -0.13043724441742038      -0.21668393474426606                0          -1          -1
  -2.0837074683371863E-002  -3.4614781397849292E-002           0           1           1
  -2.4547922979331036E-002  -4.0779258663530833E-002           1           0           1
   4.5384979411769888E-002   7.5394020406015380E-002           1           1           0
  -2.7865749303813737E-002  -4.6290515462099148E-002          -2          -1          -1
  -3.2828288840573878E-002  -5.4534323571962889E-002          -1          -2          -1
   6.0694031745544171E-002  0.10082487264872667               -1          -1          -2
   6.1551089458998240E-003   1.0224685304193140E-002          -1           0           1
   1.5036443961349871E-002   2.4978672201945398E-002          -1           1           0
   8.2777129953275110E-003   1.3750784186825064E-002           0          -1           1
  -2.2842902243254068E-002  -3.7946560606194002E-002           0           1          -1
   1.6687794305553783E-002   2.7721876479018762E-002           1          -1           0
  -2.3314155223327498E-002  -3.8729449318752406E-002           1           0          -1
   2.1173002920805610E-003   3.5173298492537078E-003           1           1           2
  -1.1451984516011263E-003  -1.9024501562121335E-003           1           2           1
  -9.7208484980698543E-004  -1.6148595962914509E-003           2           1           1
  -4.5385055857901854E-002  -7.5393976983368083E-002          -2          -2          -1
   2.4547956899739820E-002   4.0779241477597941E-002          -2          -1          -2
   2.3313933527522715E-002   3.8729583030051251E-002          -2          -1           0
  -1.6687764571409983E-002  -2.7721895007731617E-002          -2           0          -1
   2.0837108000518280E-002   3.4614760774231125E-002          -1          -2          -2
   2.2842676679859859E-002   3.7946695256091338E-002          -1          -2           0
   2.3840470840366317E-002   3.9603967766431880E-002          -1          -1           1
  -8.2774987905244041E-003  -1.3750913978423776E-002          -1           0          -2
  -1.2894874055927468E-002  -2.1421051583140290E-002          -1           1          -1
  -1.6989560286195316E-004  -2.8228305276825649E-004          -1           1           1
  -1.5036440516014665E-002  -2.4978676095900917E-002           0          -2          -1
  -6.1549117797759442E-003  -1.0224804215124096E-002           0          -1          -2
  -3.3653811132308871E-003  -5.5905875245378803E-003           0           1           2
  -2.6642142969493655E-003  -4.4258135882558674E-003           0           2           1
  -1.0945589178980350E-002  -1.8182891594124565E-002           1          -1          -1
  -2.0015889224318166E-004  -3.3255187747917634E-004           1          -1           1
  -3.8836782551127293E-003  -6.4515851297512949E-003           1           0           2
   3.7005892337514472E-004   6.1483248490563339E-004           1           1          -1
   6.5851043226123054E-003   1.0939202431114795E-002           1           2           0
   6.5887522546244663E-004   1.0945380261713632E-003           1           2           2
  -3.2197190695673838E-003  -5.3486163973515150E-003           2           0           1
   6.5478960578589139E-003   1.0877395938846200E-002           2           1           0
   7.7621282830533261E-004   1.2894615031997314E-003           2           1           2
  -1.4350791301390386E-003  -2.3839812832774764E-003           2           2           1
   3.6772717990735087E-009  -1.3466943165305101E-009          -2          -2          -2
   1.0945566901567380E-002   1.8182904045154234E-002          -2           0           0
   1.2894852255644153E-002   2.1421062842943532E-002           0          -2           0
  -2.3840438005821758E-002  -3.9603985830317934E-002           0           0          -2
  -9.6375218262847728E-003  -1.6009979956427466E-002           0           0           2
   5.2127547500202117E-003   8.6594959889497430E-003           0           2           0
   4.4247596781248760E-003   7.3504628065543401E-003           2           0           0
  -2.8034438069890553E-010   2.4849762954696802E-009           2           2           2
  -3.7013616169824086E-004  -6.1478743413951741E-004          -2          -2           0
   2.0020580001943412E-004   3.3252446125172502E-004          -2           0          -2
   1.6993434243485085E-004   2.8225929953844226E-004           0          -2          -2
  -7.5012247685971229E-004  -1.2461035456121849E-003           0           2           2
  -8.8370990339798716E-004  -1.4680199421574366E-003           2           0           2
   1.6338378041119745E-003   2.7141312566046141E-003           2           2           0
   9.7211000462645828E-004   1.6148440725456824E-003          -3          -2          -2
  -4.4247726243372767E-003  -7.3504546961677426E-003          -3          -1          -1
   1.1452263482174393E-003   1.9024327315953007E-003          -2          -3          -2
  -2.1173458643921491E-003  -3.5173024191015906E-003          -2          -2          -3
   2.1839858990726651E-003   3.6280484312689581E-003          -2           0           1
   2.5457356430031888E-003   4.2289874886632748E-003          -2           1           0
  -5.2127713404853037E-003  -8.6594858101278673E-003          -1          -3          -1
   9.6375587108430555E-003   1.6009956731194895E-002          -1          -1          -3
  -3.6102304701800250E-003  -5.9973704231028272E-003          -1           0           2
   3.3682138675158011E-003   5.5953160034308558E-003          -1           2           0
   2.6147351861866338E-003   4.3436149320188397E-003           0          -2           1
  -3.4466353191104017E-003  -5.7255991627455207E-003           0          -1           2
  -5.1412830244722992E-003  -8.5407198186406696E-003           0           1          -2
   4.4870813819385602E-004   7.4541601627052913E-004           0           2          -1
   2.9572910123805357E-003   4.9126659986358694E-003           1          -2           0
  -5.1604767091823862E-003  -8.5726068609443592E-003           1           0          -2
   1.6637320364745281E-003   2.7638132768663540E-003           1           1           3
  -8.9987900117374602E-004  -1.4948918951180976E-003           1           3           1
   3.1615176003943020E-003   5.2519446337083130E-003           2          -1           0
   7.8416638831295212E-005   1.3027403591492912E-004           2           0          -1
  -6.6712557106558910E-004  -1.1082340258948714E-003           2           2           3
